messages,all_authors,timestamps,money
has it started,Bridget Swirk,-1:54,0
Just here to get my daily dose of dum dums who don’t understand trial advocacy or defamation law,BPark,-1:54,0
"Isaac even said they have partaken in drugs together, (what adult hasn't at one point in time). if he was protecting a ""lie"" he would have down right denied anything like that.",Briana Horn,-1:42,0
The truth will prevail. Johnny will get justice!,Debbie Michailides,-1:40,0
"that cross examination was a dumpster fire for heards team. like, they gotta know that was a loss",audelia flowers,-1:39,0
guys like the livee,Rita Augusto,-1:32,0
Amber is making the biggest scam. Probably she didnt work alone. She worked with this Josh dude,dancewithdevils,-1:29,0
10am,Chanley,-1:25,0
I can’t see anything. Just says waiting ,Melissa Underwood,-1:25,0
10am Virginia time usa,Gillian ,-1:20,0
its more addictive than netflix ,M Beau,-1:17,0
"Amber is incredibly beautiful, arnica or not",darkshine,-1:17,0
"he wasn't lying, he clearly liked amber too, but he knows them both and he knows how amazing his friend is",sxvnkiss huh,-1:13,0
Isaac came off to me as being very sincere A friend of both Johnny and Amber's although a long-timer friend of Johnny's he had good feelings about Amber and is hurt by this it seems as well,Sassy but Classy,-1:13,0
You could tell how genuine Issac was. Great guy,C.213,-1:13,0
so in half an hour?,Irene Romero,-1:13,0
no one : ,Létha,-1:11,0
great teath guys :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,The Thinker,-1:08,0
In 30 minutes,Alejandra Lopez,-1:08,0
is anyone else nervous?,Angel Schooley,-1:06,0
give Johnny herd immunity!,Cassandra,-1:02,0
is this the last trial or?,Sahirah Wan,-1:01,0
is it starting at 3 again??,ok and??,-1:00,0
:thanksdoc::thanksdoc:,Mark Koster,-1:00,0
Y’all are Wild and possibly middle schoolers who watched POTC for the first time last month ,BPark,-0:59,0
She doesn't have 50 mil. He doesn't have 100 mil. They ate wasting their time,Cheryl Williams,-0:55,0
What a boring reason to be here bpark :squinting_face_with_tongue:,Amanda,-0:49,0
:performing_arts:JUSTICE FOR JOHNSON :statue_of_liberty:,Judy Wang,-0:46,0
"okay, thanks!",Irene Romero,-0:41,0
Will hair be up or down ,Gillian ,-0:36,0
@darkshine she is pretty but the point here is that her actions will ruin all what she got,sxvnkiss huh,-0:33,0
I would love to meet a nice sincere guy like Isaac,Sassy but Classy,-0:30,0
Amber : 7 k ? no no no . How about 100 k ?,Létha,-0:28,0
Down ,Maria Osornio,-0:27,0
"Isaac was an amazing witness. So sincere, you could tell he wasn’t lying and definitely felt manipulated by amber too. ",Darien Cabral,-0:19,0
LMAO @Gillian,audelia flowers,-0:17,0
why does every one keep saying Johnson :loudly_crying_face:,MegHen,-0:16,0
don't you know bruises typically show up 6 days later lol,Crayon Writer,-0:16,0
How many days is this?,Elizabeth,-0:13,0
is she going to testifyherself at all?,jerney4974,-0:12,0
Who’s side are people on ,Tilda Francis,-0:12,0
I think it’s more about getting the truth out rather than a monetary amount. The money will come if Johnny is able to be vindicated.,Chanley,-0:12,0
Starts in like 28 minutes ,Juice Sessions,-0:11,0
isaac was the very best,EP,-0:09,0
#JusticeforJohnnyDepp:heart_suit:love from israel,MD G,-0:09,0
Justice for Johnnyyyyyy,dancewithdevils,-0:06,0
I think it was fault of both sides but totally in JD’s corner. I think she used JD as a stepping stone for more fame and destroyed his career at the same time. JMO,Sclady48,-0:05,0
I hope  that Johnny wins this and gets justice for all the evil lies made by Amber ,Kaffekaffe Kaffe,-0:02,0
:performing_arts:JUSTICE FOR JOHNSON :statue_of_liberty:,Judy Wang,-0:01,0
i can go from seeing someone incredibly pretty to ugly just because of the person's actions,sxvnkiss huh,-0:00,0
"Johnny is Innocent! We are with you Johnny forever! You deserves justice! We know, you are innocent! We never leave your side! Justice for Johnny Depp!:red_heart:",Ája Šebestová❤,0:01,0
Does anyone even believe Amber?,Talar Ohanes,0:02,0
My daily pill against Mariane:goodvibes::goodvibes::goodvibes::goodvibes:,Mark Koster,0:05,0
"Frrr like I thought his name was JOHN and not Johnson, WTF",Maria Osornio,0:05,0
Have y’all checked out the building they lived in? So stunning:smiling_face_with_tear::smiling_face_with_tear:,darkshine,0:09,0
people it is JD or Johnny,Angel Schooley,0:13,0
JUSTICEFORJOHNNY,audelia flowers,0:13,0
6 week estimate for trial ,Chanley,0:14,0
eeeeeee,Rita Augusto,0:14,0
That cross resulted in The only thing in the news today - HIS NASTY TEXTS :face_vomiting: ,BPark,0:14,0
 this is the 4th day and theres 24 days in total,Aussie lad,0:17,0
it started!,Tracy Chamoun,0:17,0
Justice for Johnny depp,Gemma Scott Vlogs,0:18,0
Waiting easterly in,Carla Agius,0:19,0
here we go,Sassy but Classy,0:25,0
herd immunity for Johnny!,Cassandra,0:26,0
Not this again ,04iscool,0:27,0
Johnny Depp is going to really regret this lawsuit.,Max Frank,0:27,0
BEEEEEEEEEEEP,Andrea Linda,0:28,0
"Oh, happy day! Halleluja, halleluja! If you are for Johnny then comment a green heart:green_heart:",SuperIMpulsiV,0:29,0
this beeeppp,The Thinker,0:30,0
justice for our ears,Ramon,0:31,0
get some EEEEEEEEEEs in the chat,Duncan c,0:31,0
when is Elon being brought out?,Abdul Ahad,0:31,0
Here We go:heart_suit:#JusticeForJohnnyDepp,Melissa Olmedo,0:33,0
omg,sxvnkiss huh,0:34,0
Do you think they play that annoying sound on purpose? Geesh. ,SassafrasKath,0:36,0
Talar yes she has support believe it’s or not :zany_face:,Amanda,0:37,0
I hope they call Vanessa to the stand who knew him for 25 years and 14 years of children and a marriage. Ridiculous.,Penny Toniolli,0:37,0
It never was about the money. Johnny wants to clear his name and he will. Then amber is done,Debbie Michailides,0:37,0
